# name-mention-classification.tsv — XSPEC-389 R1（2026-08-21 分類）
# 欄位: path<TAB>line<TAB>category<TAB>match<TAB>reason
# category ∈ {substantive(實質引用), incidental(順帶提及), dead(已死引用)}
# match = 分類當下該行 trim 後內容；scripts/check-name-mention-classification.ts 用它偵測漂移——
#         行內容變了或行號移了，該筆會落回「判不了」而非沿用舊分類。
# 維護方式：跑 npm run check:name-mentions，把它列出的未分類/漂移命中逐筆補回這裡。
locales/zh-TW/core/resource-cost-boundary.md	165	substantive	- XSPEC-285 — VibeOps 主動成本治理（本標準的強制/執行器面）	References 條目宣告兩半結構（zh-TW 鏡像，同 en :170）
locales/zh-TW/core/runbook.md	28	substantive	VibeOps Governance Agent（DEC-042）直接執行的 AI 可執行 runbook schema。	runbook zh-TW 鏡像：獨特貢獻定義為可被 VibeOps Governance Agent 執行，同 en :22
locales/zh-TW/core/smoke-test.md	36	incidental	BASE_URL="${VIBEOPS_URL:-http://localhost:3000}"	範例腳本 VIBEOPS_URL 示例（zh-TW 鏡像）
locales/zh-TW/core/smoke-test.md	69	incidental	VIBEOPS_URL: http://localhost:3000	範例 CI 片段 VIBEOPS_URL 示例（zh-TW 鏡像）
locales/zh-TW/core/verification-oracle.md	31	incidental	> （DEC-075 中立機制 / DEC-063 產出物責任歸客戶）。執行引擎接線（如 VibeOps pipeline 閘門）	「如 VibeOps pipeline 閘門」下游示例（zh-TW 鏡像）
locales/zh-TW/core/verification-oracle.md	146	incidental	- DEC-075 — VibeOps 領域中立定位（中立機制）	References 清單 DEC-075 標題（zh-TW 鏡像）
locales/zh-TW/docs/MIGRATION-v6.md	62	incidental	| `uds start`、`uds mission:*`（status/pause/resume/cancel/list）| 用採用層的 mission runtime（如 VibeOps orchestrator）|	遷移對照表採用層示例（zh-TW 鏡像）
locales/zh-TW/docs/user/GLOSSARY.md	118	incidental	位於 `dev-platform/cross-project/specs/XSPEC-NNN-*.md` 的規格文件。用於影響多個子專案（UDS、VibeOps、telemetry）的功能，或新的 UDS 功能。	術語表詞條列舉子專案（zh-TW 鏡像）
scripts/generate-version-manifest.mjs	49	substantive	vibeops: '>=0.5.0'	產生出貨 version-manifest.json 的 compatibility 表點名 vibeops 消費者與版本範圍（v0.5.0 tag 實存）
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	21	incidental	>   coverage on every one of VibeOps's 93 real specs, for two independent,	驗收紀錄敘述（對 VibeOps 93 份規格實跑覆蓋）
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	26	incidental	>   shape** — actually run against this repo and against VibeOps's 93	驗收紀錄敘述（實跑範圍說明）
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	30	substantive	>   chosen to match what VibeOps's `lint-executor.ts` has been parsing	契約形狀明訂以 VibeOps lint-executor.ts 既有解析為準（活契約錨）
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	125	incidental	but under `uds lint`: the 2026-08-19 VibeOps run recorded in AT-011 produced	AT-011 實跑紀錄
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	356	incidental	VibeOps (`node <uds>/cli/bin/uds.js lint` in	實跑指令與環境紀錄
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	357	incidental	`/Users/alberthsu/Documents/GitHub/AsiaOstrich/vibeops`, 93 specs, 0 broken	實跑路徑紀錄
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	377	incidental	**Notes**: `node cli/bin/uds.js lint --json` in this repo and in VibeOps both	實跑結果紀錄
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	382	substantive	VibeOps's `src/runner/uds/lint-executor.ts` has been parsing since	宣告 VibeOps src/runner/uds/lint-executor.ts 自始解析此形狀（活契約錨；該檔實存）
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	384	incidental	not invented independently of any consumer. VibeOps run:	實跑紀錄（非獨立發明的佐證敘述）
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	409	incidental	on failure) was verified without the flag: VibeOps has a real broken-size	引述 VibeOps repo 現有 broken-size 規格作為驗證輸入的紀錄
tests/acceptance/XSPEC-005-superspec-borrowing-acceptance.md	411	incidental	`node <uds>/cli/bin/uds.js lint --json` in the VibeOps repo exits 1	實跑退出碼紀錄
tests/features/SPEC-AGENT-COMM-001-agent-communication-protocol.feature	8	substantive	So that agents from UDS, DevAP, and VibeOps can interoperate seamlessly	協定使用者故事以 UDS/DevAP/VibeOps 三專案互通為目的（名稱即主題；另 DevAP 已退場）
tests/features/SPEC-AGENT-COMM-001-agent-communication-protocol.feature	21	substantive	| VibeOps | success, partial, failure                                             |	協定表格定義 VibeOps 一方的狀態詞彙
tests/features/SPEC-AGENT-COMM-001-agent-communication-protocol.feature	48	substantive	| source.project       | vibeops                        |	訊息封包 source.project 線上值為名稱衍生識別字 "vibeops"
tests/features/SPEC-AGENT-COMM-001-agent-communication-protocol.feature	116	substantive	Scenario: Cross-project round trip (DevAP → VibeOps → DevAP)	跨專案往返情境以 DevAP→VibeOps→DevAP 為受測路徑
tests/features/SPEC-AGENT-COMM-001-agent-communication-protocol.feature	118	substantive	Given DevAP orchestrator creates a task envelope for a VibeOps builder agent	情境步驟指定 VibeOps builder agent 為封包收受方
tests/features/SPEC-AGENT-COMM-001-agent-communication-protocol.feature	120	substantive	When VibeOps builder agent completes the task	情境步驟指定 VibeOps builder agent 完成任務
